P1_Pos, P1_Cash, P1_Props, P2_Pos, P2_Cash, P2_Props
================================================== Simulated Game #0 ==================================================
0, 1500, [], 0, 1500, []
1, 1440, [1], 0, 1500, []
1, 1440, [1], 5, 1360, [5]
3, 1440, [1], 5, 1360, [5]
3, 1440, [1], 6, 1220, [5, 6]
6, 1430, [1], 6, 1220, [5, 6]
6, 1430, [1], 12, 1220, [5, 6]
7, 1430, [1], 12, 1220, [5, 6]
7, 1430, [1], 15, 960, [5, 6, 15]
10, 1430, [1], 15, 960, [5, 6, 15]
10, 1430, [1], 19, 960, [5, 6, 15]
16, 1150, [1, 16], 19, 960, [5, 6, 15]
16, 1150, [1, 16], 2, 860, [5, 6, 15, 2]
17, 850, [1, 16, 17], 2, 860, [5, 6, 15, 2]
17, 850, [1, 16, 17], 4, 740, [5, 6, 15, 2, 4]
0, 790, [1, 16, 17, 0], 4, 740, [5, 6, 15, 2, 4]
0, 790, [1, 16, 17, 0], 6, 740, [5, 6, 15, 2, 4]
1, 790, [1, 16, 17, 0], 6, 740, [5, 6, 15, 2, 4]
1, 790, [1, 16, 17, 0], 12, 740, [5, 6, 15, 2, 4]
6, 780, [1, 16, 17, 0], 12, 740, [5, 6, 15, 2, 4]
6, 780, [1, 16, 17, 0], 14, 740, [5, 6, 15, 2, 4]
13, 780, [1, 16, 17, 0], 14, 740, [5, 6, 15, 2, 4]
13, 780, [1, 16, 17, 0], 15, 740, [5, 6, 15, 2, 4]
16, 780, [1, 16, 17, 0], 15, 740, [5, 6, 15, 2, 4]
16, 780, [1, 16, 17, 0], 16, 716, [5, 6, 15, 2, 4]
17, 780, [1, 16, 17, 0], 16, 716, [5, 6, 15, 2, 4]
17, 780, [1, 16, 17, 0], 19, 716, [5, 6, 15, 2, 4]
20, 780, [1, 16, 17, 0], 19, 716, [5, 6, 15, 2, 4]
20, 780, [1, 16, 17, 0], 20, 716, [5, 6, 15, 2, 4]
1, 780, [1, 16, 17, 0], 20, 716, [5, 6, 15, 2, 4]
1, 780, [1, 16, 17, 0], 21, 716, [5, 6, 15, 2, 4]
2, 774, [1, 16, 17, 0], 21, 716, [5, 6, 15, 2, 4]
2, 774, [1, 16, 17, 0], 6, 716, [5, 6, 15, 2, 4]
5, 764, [1, 16, 17, 0], 6, 716, [5, 6, 15, 2, 4]
5, 764, [1, 16, 17, 0], 12, 716, [5, 6, 15, 2, 4]
8, 764, [1, 16, 17, 0], 12, 716, [5, 6, 15, 2, 4]
8, 764, [1, 16, 17, 0], 16, 692, [5, 6, 15, 2, 4]
13, 764, [1, 16, 17, 0], 16, 692, [5, 6, 15, 2, 4]
13, 764, [1, 16, 17, 0], 18, 392, [5, 6, 15, 2, 4, 18]
14, 504, [1, 16, 17, 0, 14], 18, 392, [5, 6, 15, 2, 4, 18]
14, 504, [1, 16, 17, 0, 14], 21, 392, [5, 6, 15, 2, 4, 18]
15, 482, [1, 16, 17, 0, 14], 21, 392, [5, 6, 15, 2, 4, 18]
15, 482, [1, 16, 17, 0, 14], 6, 392, [5, 6, 15, 2, 4, 18]
21, 482, [1, 16, 17, 0, 14], 6, 392, [5, 6, 15, 2, 4, 18]
21, 482, [1, 16, 17, 0, 14], 9, 212, [5, 6, 15, 2, 4, 18, 9]
5, 472, [1, 16, 17, 0, 14], 9, 212, [5, 6, 15, 2, 4, 18, 9]
5, 472, [1, 16, 17, 0, 14], 10, 212, [5, 6, 15, 2, 4, 18, 9]
11, 252, [1, 16, 17, 0, 14, 11], 10, 212, [5, 6, 15, 2, 4, 18, 9]
11, 252, [1, 16, 17, 0, 14, 11], 12, 212, [5, 6, 15, 2, 4, 18, 9]
12, 32, [1, 16, 17, 0, 14, 11, 12], 12, 212, [5, 6, 15, 2, 4, 18, 9]
12, 32, [1, 16, 17, 0, 14, 11, 12], 13, 212, [5, 6, 15, 2, 4, 18, 9]
15, 10, [1, 16, 17, 0, 14, 11, 12], 13, 212, [5, 6, 15, 2, 4, 18, 9]
15, 10, [1, 16, 17, 0, 14, 11, 12], 14, 190, [5, 6, 15, 2, 4, 18, 9]
18, -16, [1, 16, 17, 0, 14, 11, 12], 14, 190, [5, 6, 15, 2, 4, 18, 9]
================================================== Simulated Game #1 ==================================================
0, 1500, [], 0, 1500, []
4, 1500, [], 0, 1500, []
4, 1500, [], 7, 1340, [7]
6, 1500, [], 7, 1340, [7]
6, 1500, [], 8, 1340, [7]
7, 1488, [], 8, 1340, [7]
7, 1488, [], 10, 1140, [7, 10]
10, 1472, [], 10, 1140, [7, 10]
10, 1472, [], 14, 880, [7, 10, 14]
11, 1472, [], 14, 880, [7, 10, 14]
11, 1472, [], 15, 620, [7, 10, 14, 15]
16, 1472, [], 15, 620, [7, 10, 14, 15]
16, 1472, [], 18, 620, [7, 10, 14, 15]
18, 1172, [18], 18, 620, [7, 10, 14, 15]
18, 1172, [18], 1, 620, [7, 10, 14, 15]
1, 1172, [18], 1, 620, [7, 10, 14, 15]
1, 1172, [18], 6, 480, [7, 10, 14, 15, 6]
7, 1160, [18], 6, 480, [7, 10, 14, 15, 6]
7, 1160, [18], 7, 480, [7, 10, 14, 15, 6]
8, 980, [18, 8], 7, 480, [7, 10, 14, 15, 6]
8, 980, [18, 8], 11, 260, [7, 10, 14, 15, 6, 11]
13, 980, [18, 8], 11, 260, [7, 10, 14, 15, 6, 11]
13, 980, [18, 8], 16, 260, [7, 10, 14, 15, 6, 11]
20, 630, [18, 8, 20], 16, 260, [7, 10, 14, 15, 6, 11]
20, 630, [18, 8, 20], 17, 260, [7, 10, 14, 15, 6, 11]
21, 230, [18, 8, 20, 21], 17, 260, [7, 10, 14, 15, 6, 11]
21, 230, [18, 8, 20, 21], 0, 260, [7, 10, 14, 15, 6, 11]
2, 130, [18, 8, 20, 21, 2], 0, 260, [7, 10, 14, 15, 6, 11]
2, 130, [18, 8, 20, 21, 2], 7, 260, [7, 10, 14, 15, 6, 11]
9, 130, [18, 8, 20, 21, 2], 7, 260, [7, 10, 14, 15, 6, 11]
9, 130, [18, 8, 20, 21, 2], 14, 260, [7, 10, 14, 15, 6, 11]
10, 114, [18, 8, 20, 21, 2], 14, 260, [7, 10, 14, 15, 6, 11]
10, 114, [18, 8, 20, 21, 2], 17, 260, [7, 10, 14, 15, 6, 11]
12, 114, [18, 8, 20, 21, 2], 17, 260, [7, 10, 14, 15, 6, 11]
12, 114, [18, 8, 20, 21, 2], 21, 160, [7, 10, 14, 15, 6, 11]
17, 114, [18, 8, 20, 21, 2], 21, 160, [7, 10, 14, 15, 6, 11]
17, 114, [18, 8, 20, 21, 2], 5, 160, [7, 10, 14, 15, 6, 11]
18, 114, [18, 8, 20, 21, 2], 5, 160, [7, 10, 14, 15, 6, 11]
18, 114, [18, 8, 20, 21, 2], 9, 160, [7, 10, 14, 15, 6, 11]
21, 114, [18, 8, 20, 21, 2], 9, 160, [7, 10, 14, 15, 6, 11]
21, 114, [18, 8, 20, 21, 2], 12, 160, [7, 10, 14, 15, 6, 11]
6, 104, [18, 8, 20, 21, 2], 12, 160, [7, 10, 14, 15, 6, 11]
6, 104, [18, 8, 20, 21, 2], 14, 160, [7, 10, 14, 15, 6, 11]
7, 92, [18, 8, 20, 21, 2], 14, 160, [7, 10, 14, 15, 6, 11]
