Mediterranean Ave.,60,2,Purple
Baltic Ave.,60,4,Purple
Oriental Ave.,100,6,Light-Blue
Vermont Ave.,100,6,Light-Blue
Connecticut Ave.,120,8,Light-Blue
St. Charles Place,140,10,Violet
States Ave.,140,10,Violet
Virginia Ave.,160,12,Violet
St. James Place,180,14,Orange
Tennessee Ave.,180,14,Orange
New York Ave.,200,16,Orange
Kentucky Ave.,220,18,Red
Indiana Ave.,220,18,Red
Illinois Ave.,240,20,Red
Atlantic Ave.,260,22,Yellow
Ventnor Ave.,260,22,Yellow
Marvin Gardens,280,24,Yellow
Pacific Ave.,300,26,Dark-Green
North Carolina Ave.,300,26,Dark-Green
Pennsylvania Ave.,320,28,Dark-Green
Park Place,350,35,Dark-Blue
Boardwalk,400,50,Dark-Blue
